01-12 15:56:06: Start:
01-12 15:56:07: Best reward -6.9 (-100.0%) at episode 0, model saved.
01-12 15:56:07: Best reward -6.3 (-8.7%) at episode 1, model saved.
01-12 15:56:07: Best reward -5.7 (-9.5%) at episode 6, model saved.
01-12 15:56:08: Best reward -4.5 (-21.1%) at episode 79, model saved.
01-12 15:56:09: Best reward -2.1 (-53.3%) at episode 154, model saved.
01-12 15:56:11: Best reward -1.5 (-28.6%) at episode 445, model saved.
01-12 15:56:11: Best reward -0.9 (-40.0%) at episode 452, model saved.
01-12 15:56:11: Best reward 0.9 (-200.0%) at episode 497, model saved.
01-12 15:56:12: Best reward 2.1 (+133.3%) at episode 560, model saved.
01-12 15:56:13: Best reward 3.9 (+85.7%) at episode 668, model saved.
01-12 15:56:21: Best reward 4.1 (+5.1%) at episode 1336, model saved.
01-12 15:56:23: Best reward 4.5 (+9.8%) at episode 1522, model saved.
01-12 15:56:26: Best reward 8.4 (+86.7%) at episode 1717, model saved.
01-12 15:57:24: Best reward 8.5 (+1.2%) at episode 5696, model saved.
01-12 15:57:25: Best reward 8.7 (+2.4%) at episode 5753, model saved.
01-12 15:57:30: Best reward 10.7 (+23.0%) at episode 6067, model saved.
01-12 15:57:31: Best reward 11.2 (+4.7%) at episode 6089, model saved.
01-12 15:57:33: Best reward 12.9 (+15.2%) at episode 6231, model saved.
01-12 15:57:35: Best reward 17.9 (+38.8%) at episode 6348, model saved.
01-12 15:58:05: Best reward 18.6 (+3.9%) at episode 8265, model saved.
01-12 15:58:32: Best reward 18.9 (+1.6%) at episode 9768, model saved.
01-12 15:58:41: Best reward 26.9 (+42.3%) at episode 10265, model saved.
01-12 15:59:04: Best reward 32.3 (+20.1%) at episode 11555, model saved.
01-12 15:59:07: Best reward 43.3 (+34.1%) at episode 11706, model saved.
01-12 15:59:59: Best reward 46.5 (+7.4%) at episode 14238, model saved.
01-12 16:00:13: Best reward 50.4 (+8.4%) at episode 14864, model saved.
01-12 16:00:45: Best reward 64.4 (+27.8%) at episode 16310, model saved.
01-12 16:00:51: Best reward 106.4 (+65.2%) at episode 16533, model saved.
01-12 16:03:09: Best reward 110.9 (+4.2%) at episode 21282, model saved.
01-12 16:03:31: Best reward 135.3 (+22.0%) at episode 22080, model saved.
01-12 16:03:52: Best reward 135.6 (+0.2%) at episode 22793, model saved.
01-12 16:09:35: Best reward 151.3 (+11.6%) at episode 32426, model saved.
01-12 16:10:44: Best reward 167.5 (+10.7%) at episode 34129, model saved.
01-12 16:11:07: Best reward 186.3 (+11.2%) at episode 34617, model saved.
01-12 16:14:19: Best reward 230.6 (+23.8%) at episode 38916, model saved.
01-12 16:17:07: Best reward 236.9 (+2.7%) at episode 42152, model saved.
01-12 16:18:28: Best reward 264.9 (+11.8%) at episode 43423, model saved.
01-12 16:24:09: Best reward 281.3 (+6.2%) at episode 49128, model saved.
01-12 16:30:10: Best reward 391.0 (+39.0%) at episode 55042, model saved.
01-12 16:37:42: Best reward 419.7 (+7.3%) at episode 62220, model saved.
01-12 17:53:28: Best reward 498.4 (+18.8%) at episode 112616, model saved.
